year,fantasy_team,stack_weeks,nonstack_weeks,stack_avg_score,nonstack_avg_score,score_difference,stack_win_rate,nonstack_win_rate,win_rate_difference,stack_avg_margin,nonstack_avg_margin,margin_difference,stack_top_quartile_rate,nonstack_top_quartile_rate,top_quartile_difference
2017,Ginger FC,2,11,123.74000000000001,86.0690909090909,37.670909090909106,1.0,0.7272727272727273,0.2727272727272727,34.71,6.856363636363638,27.85363636363636,1.0,0.09090909090909091,0.9090909090909091
2017,Malle ❤️ 🐸,3,10,77.76,80.84799999999998,-3.0879999999999797,0.3333333333333333,0.2,0.1333333333333333,-7.059999999999998,-27.774,20.714000000000002,0.0,0.1,-0.1
2017,The Big Gronkowski,1,12,78.14,96.685,-18.545,0.0,0.4166666666666667,-0.4166666666666667,-9.700000000000003,-1.851666666666669,-7.848333333333334,0.0,0.3333333333333333,-0.3333333333333333
2017,Voldemort,7,6,111.4657142857143,93.79333333333334,17.672380952380962,0.8571428571428571,0.5,0.3571428571428571,21.50857142857143,4.706666666666666,16.801904761904762,0.7142857142857143,0.0,0.7142857142857143
2017,malle_dips_pouches,9,4,102.07111111111111,77.345,24.72611111111111,0.6666666666666666,0.25,0.41666666666666663,15.38888888888889,-4.225000000000005,19.613888888888894,0.4444444444444444,0.0,0.4444444444444444
2018,Malle ❤️ 🐸,1,12,89.06,93.20666666666666,-4.146666666666661,0.0,0.3333333333333333,-0.3333333333333333,-18.28,-11.585,-6.695,0.0,0.08333333333333333,-0.08333333333333333
2018,PickUpYourBratsMalle,10,3,106.93800000000002,94.81333333333333,12.124666666666684,0.6,0.3333333333333333,0.26666666666666666,7.06,-17.64,24.7,0.4,0.3333333333333333,0.06666666666666671
2018,Pop Lockett Drop it,2,11,109.99000000000001,114.56545454545457,-4.575454545454562,0.5,0.6363636363636364,-0.13636363636363635,-21.119999999999997,14.867272727272727,-35.987272727272725,0.5,0.45454545454545453,0.04545454545454547
2018,Post Mahomes,4,9,111.51,111.02444444444444,0.48555555555556396,0.5,0.4444444444444444,0.05555555555555558,10.655000000000008,6.462222222222222,4.192777777777787,0.5,0.4444444444444444,0.05555555555555558
2018,Voldemort,8,5,104.05,98.78399999999999,5.266000000000005,0.625,0.4,0.22499999999999998,7.577499999999998,-4.864000000000004,12.441500000000001,0.25,0.2,0.04999999999999999
2018,malle_dips_pouches,5,8,89.624,114.00750000000001,-24.383500000000012,0.6,1.0,-0.4,-0.18000000000000113,25.3425,-25.5225,0.2,0.375,-0.175
2019,Big Sack Jack,1,12,112.42,99.29333333333335,13.126666666666651,1.0,0.5,0.5,19.64,-1.3683333333333323,21.008333333333333,1.0,0.3333333333333333,0.6666666666666667
2019,Ginger FC,1,12,118.62,88.55166666666668,30.068333333333328,1.0,0.25,0.75,51.16000000000001,-10.328333333333335,61.488333333333344,1.0,0.16666666666666666,0.8333333333333334
2019,Malle ❤️ 🐸,11,2,88.9309090909091,76.03,12.900909090909096,0.36363636363636365,0.0,0.36363636363636365,-12.259999999999996,-32.400000000000006,20.140000000000008,0.09090909090909091,0.0,0.09090909090909091
2019,The Big Gronkowski,1,12,135.98,85.45333333333333,50.52666666666666,1.0,0.4166666666666667,0.5833333333333333,33.019999999999996,-11.635000000000005,44.655,1.0,0.08333333333333333,0.9166666666666666
2019,ThreatLevelMidnight,5,8,103.49600000000001,94.81,8.686000000000007,0.6,0.5,0.09999999999999998,9.084000000000003,-5.772500000000004,14.856500000000008,0.4,0.125,0.275
2020,Big Sack Jack,1,12,113.68,104.75166666666667,8.928333333333342,1.0,0.4166666666666667,0.5833333333333333,31.92,-1.8266666666666727,33.74666666666668,0.0,0.25,-0.25
2020,The Big Gronkowski,5,8,112.428,111.795,0.6329999999999956,0.8,0.5,0.30000000000000004,7.684000000000003,-0.8175000000000026,8.501500000000005,0.4,0.125,0.275
2020,ThreatLevelMidnight,2,11,122.03,109.08545454545452,12.944545454545477,0.0,0.2727272727272727,-0.2727272727272727,-23.17000000000001,-17.374545454545455,-5.795454545454554,0.0,0.2727272727272727,-0.2727272727272727
2020,Uncle Rico,1,12,105.22,107.71833333333332,-2.4983333333333206,0.0,0.6666666666666666,-0.6666666666666666,-15.260000000000005,10.301666666666668,-25.561666666666675,0.0,0.25,-0.25
2021,Big Sack Jack,1,13,75.24,102.35538461538461,-27.115384615384613,0.0,0.23076923076923078,-0.23076923076923078,-7.740000000000009,-19.81692307692308,12.07692307692307,0.0,0.23076923076923078,-0.23076923076923078
